race_no,declaration_events_id,horse_weight,color,venue_id,venueName,Race_No,Horse_No,trainer_id,jockey_id,declaration_distance,rating,season_id,Won_by,Timing,dist_win,closing_odds,allowence,dr_no,LF,withdraw,preRating,breederId,sireId,damId,complete_results_id,declaration_date,declaration_details_id,sireName,damName,event_name,horse_id,horseName,exName,sex,age,horse_rating,place,jockeyName,trainerName
Race1,155020,56,ch,7,DELHI,155020,1,822,339,1000,27,353,,,0,,,,,2,0,0,2157,16641,41785,2024-03-30,1791835,Net Whizz(USA),Glorious Lady,The Race Goers Plate,63056,KHUDA BAKSH,,c,3,27,0,WITHDRAWN,R KUMAR
Race1,155020,54.5,ch,7,DELHI,155020,2,387,2078,1000,23,353,1/2,1:01.72,2 3/4,,,4,A,0,25,0,2048,18540,41785,2024-03-30,1791836,Varenar(FR),Ashwa Manjri,The Race Goers Plate,62737,ASHWA NIRJRA,,f,3,23,2,M B Qureshi,S Nawab
Race1,155020,54.5,b,7,DELHI,155020,3,231,2142,1000,18,353,3 3/4,1:01.80,3 1/4,,,2,S,0,20,1169,1995,18541,41785,2024-03-30,1791837,Chinese Whisper(IRE),Suzette,The Race Goers Plate,62738,AWESOME VIBE,,f,3,18,3,Kundan Paswan,H Ali Khan
Race1,155020,54.5,ch,7,DELHI,155020,4,388,2331,1000,29,353,2 3/4,1:01.28,0,,,1,S,0,24,93,1950,17222,41785,2024-03-30,1791838,Declaration of War(IRE),Fast Escape(IRE),The Race Goers Plate,62963,DIVINE HONEY,,f,3,29,1,Arjun,Syed H Abbas
Race1,155020,54.5,b,7,DELHI,155020,5,388,1451,1000,28,353,,1:02.39,7,,,3,S,0,28,1169,1995,16707,41785,2024-03-30,1791839,Chinese Whisper(IRE),Alize,The Race Goers Plate,62830,WHITE SAPPHIRE,,f,3,28,4,Mohit Singh,Syed H Abbas
Race2,155021,61.5,b,7,DELHI,155021,1,387,2034,1100,65,353,1/2,1:05.37,3 1/4,,-3.5,5,A,0,65,0,2161,14197,41786,2024-03-30,1791840,Speaking of Which(IRE),SERRAFINA,The Trainer's Association Plate,59940,ASHWA RAUDEE,,h,5,65,2,N S Rathore,S Nawab
Race2,155021,61,dkb,7,DELHI,155021,2,261,2273,1100,64,353,3,1:05.69,5,,,2,S,0,64,70,2179,17075,41786,2024-03-30,1791841,Knight's Tour(AUS),Second City(GB),The Trainer's Association Plate,57801,EASTERN CROWN,,h,8,64,4,Angad,Mallikarjun
Race2,155021,57,b,7,DELHI,155021,3,246,754,1100,56,353,3 1/4,1:04.87,0,,,3,A,0,56,1187,1002,17270,41786,2024-03-30,1791842,Juniper(USA),Masterafar,The Trainer's Association Plate,59292,MASTER STEPPER,,g,6,56,1,Rajinder Saini,S Ali Khan
Race2,155021,53.5,b,7,DELHI,155021,4,231,829,1100,49,353,9,1:06.19,8,,,4,A,0,51,64,1931,16052,41786,2024-03-30,1791843,Opportunist(IRE),FOREST NATIVE,The Trainer's Association Plate,2684,FARGO,,m,8,49,5,Jai Parkash,H Ali Khan
Race2,155021,53,b,7,DELHI,155021,5,231,2339,1100,48,353,1 1/4,1:05.47,3 3/4,,-5,6,A,0,48,76,1931,15773,41786,2024-03-30,1791844,Opportunist(IRE),DON'T BE SILLY (USA),The Trainer's Association Plate,58134,KAFTAN,,g,7,48,3,Shivam,H Ali Khan
Race2,155021,50,b,7,DELHI,155021,6,235,2331,1100,42,353,,1:07.65,17,,-1.5,1,A,0,45,0,2080,17575,41786,2024-03-30,1791845,Green Coast(IRE),Classic Wish,The Trainer's Association Plate,60356,TAKE A GAMBLE,,m,6,42,6,Arjun,Mohsin Khan
Race3,155022,61,b,7,DELHI,155022,1,387,2124,1400,46,353,1 3/4,1:25.78,0,,,2,S,0,46,48,2262,17842,41787,2024-03-30,1791846,The Gurkha(IRE),Dynarock(USA),The Jockey's Association Plate,9381,ASHWA JOHANNESBURG,JOHANNESBURG,g,5,46,1,B R Kumar,S Nawab
Race3,155022,60.5,b,7,DELHI,155022,2,261,2273,1400,45,353,5 3/4,1:26.13,1 3/4,,,4,A,0,44,62,1907,16458,41787,2024-03-30,1791847,Excellent Art(GB),Nijinsky Bullet(USA),The Jockey's Association Plate,59221,VIGGEN,BERKELEY,g,6,45,3,Angad,Mallikarjun
Race3,155022,58.5,gr,7,DELHI,155022,3,386,2341,1400,41,353,NECK,1:26.07,1 3/4,,-3.5,6,A,0,44,0,1446,16165,41787,2024-03-30,1791848,Stardan(IRE),Chitrita,The Jockey's Association Plate,59390,BUMBLEBEE,,m,7,41,2,Varun,V S Parmar
Race3,155022,55.5,b,7,DELHI,155022,4,261,51,1400,35,353,,1:27.34,8 3/4,,,7,S,0,35,62,2037,17003,41787,2024-03-30,1791849,Arazan(IRE),Brookly,The Jockey's Association Plate,57099,COMMANDPOST,,g,9,35,6,G S Shekhawat,Mallikarjun
Race3,155022,55.5,b,7,DELHI,155022,5,716,829,1400,35,353,NECK,1:27.06,7 1/2,,,1,A,0,35,0,2157,18189,41787,2024-03-30,1791850,Net Whizz(USA),She Is Fantastic,The Jockey's Association Plate,61784,KHALIFAA,,c,3,35,4,Jai Parkash,Rajinder
Race3,155022,54.5,ch,7,DELHI,155022,6,261,339,1400,33,353,,,0,,,,,2,36,41,1934,17925,41787,2024-03-30,1791851,Sedgefield(USA),Rio Rojo,The Jockey's Association Plate,60591,DIVYA SHAKTHI,,m,6,33,0,WITHDRAWN,Mallikarjun
Race3,155022,50,b,7,DELHI,155022,7,231,2339,1400,24,353,1 1/4,1:27.11,7 1/2,,-5,5,A,0,24,75,1931,13817,41787,2024-03-30,1791852,Opportunist(IRE),R VALID GIRL(USA),The Jockey's Association Plate,58135,ZELBET,,m,8,24,5,Shivam,H Ali Khan
Race4,155023,59,b,7,DELHI,155023,1,233,771,1600,78,353,,1:40.18,12 1/2,,,6,A,0,81,0,1982,16254,41788,2024-03-30,1791853,West Virginia(USA),Serenity,The Stewards Cup,60710,DIVIT,SHAURYA,h,6,78,8,K Narender Kumar,I S Parmar
Race4,155023,57.5,b,7,DELHI,155023,2,246,2078,1600,75,353,5,1:39.04,5 1/2,,,7,A,0,75,41,1934,15843,41788,2024-03-30,1791854,Sedgefield(USA),TAFCAR(USA),The Stewards Cup,56624,ASHWA SARDAR,WINDERMERE,g,6,75,6,M B Qureshi,S Ali Khan
