race_no,declaration_events_id,horse_weight,color,venue_id,venueName,Race_No,Horse_No,trainer_id,jockey_id,declaration_distance,rating,season_id,Won_by,Timing,dist_win,closing_odds,allowence,dr_no,LF,withdraw,preRating,breederId,sireId,damId,complete_results_id,declaration_date,declaration_details_id,sireName,damName,event_name,horse_id,horseName,exName,sex,age,horse_rating,place,jockeyName,trainerName
Race1,155002,56,ch,7,DELHI,155002,1,822,2124,1100,27,353,5 1/2,1:09.45,9 3/4,,,4,A,0,0,0,2157,16641,41779,2024-03-28,1791713,Net Whizz(USA),Glorious Lady,The South West Zone Plate,63056,KHUDA BAKSH,,c,3,27,4,B R Kumar,R KUMAR
Race1,155002,54.5,b,7,DELHI,155002,2,231,829,1100,18,353,Shd,1:08.73,5 1/2,,,5,S,0,20,1169,1995,18541,41779,2024-03-28,1791714,Chinese Whisper(IRE),Suzette,The South West Zone Plate,62738,AWESOME VIBE,,f,3,18,2,Jai Parkash,H Ali Khan
Race1,155002,54.5,ch,7,DELHI,155002,3,388,2331,1100,29,353,4 1/4,1:08.75,5 1/2,,,3,S,0,24,93,1950,17222,41779,2024-03-28,1791715,Declaration of War(IRE),Fast Escape(IRE),The South West Zone Plate,62963,DIVINE HONEY,,f,3,29,3,Arjun,Syed H Abbas
Race1,155002,54.5,dkb,7,DELHI,155002,4,237,1515,1100,0,353,5 1/2,1:07.87,0,,,1,S,0,0,0,1446,17067,41779,2024-03-28,1791716,Stardan(IRE),Suki Suki,The South West Zone Plate,63114,SHOOLIN,,f,2,,1,D S Deora,Magan Singh
Race1,155002,54.5,b,7,DELHI,155002,5,388,2340,1100,28,353,,1:10.31,15 1/4,,,2,S,0,28,1169,1995,16707,41779,2024-03-28,1791717,Chinese Whisper(IRE),Alize,The South West Zone Plate,62830,WHITE SAPPHIRE,,f,3,28,5,Faizaan Khan,Syed H Abbas
Race2,155003,60.5,b,7,DELHI,155003,1,386,339,1100,27,353,,,0,,,,,2,27,1141,2246,16161,41780,2024-03-28,1791718,Basem(GB),Alohamora,The North East Zone Plate,62323,BLACK HILL,,f,4,27,0,WITHDRAWN,V S Parmar
Race2,155003,60.5,b,7,DELHI,155003,2,716,2075,1100,27,353,4,1:07.39,1 3/4,,,5,A,0,24,163,2173,18096,41780,2024-03-28,1791719,Planetaire(GB),Pujarin,The North East Zone Plate,61399,PERSONAL,,m,5,27,3,Akash Rajput,Rajinder
Race2,155003,60,b,7,DELHI,155003,3,232,2272,1100,26,353,2,1:08.61,9 1/4,,-2.5,3,S,0,29,33,2171,15440,41780,2024-03-28,1791720,Leitir Mor(IRE),MEOHMY(GB),The North East Zone Plate,59770,NIZBATI WINGS,MEMORABLE MOMENTS,m,7,26,5,Abdul Fazal,S M Abbas
Race2,155003,58,b,7,DELHI,155003,4,235,36,1100,24,353,1/2,1:08.94,11 1/4,,,4,S,0,27,0,2038,11732,41780,2024-03-28,1791721,Midnight Interlude(USA),Pouilly Fume (GB),The North East Zone Plate,62587,DUS NUMBERY,,g,4,22,6,Dilip Singh,Mohsin Khan
Race2,155003,54,b,7,DELHI,155003,5,261,2273,1100,14,353,1 1/4,1:07.18,1/2,,,7,A,0,14,132,2159,15601,41780,2024-03-28,1791722,Saamidd(GB),OFFSHORE ANNA(IRE),The North East Zone Plate,57865,WANDERING ANGEL,EL MULANO,m,7,14,2,Angad,Mallikarjun
